ID	Animal_number1	Code	SEX	AGE18	AGE19	Encl18	Encl19	Old.new	Comb18	Lag18	Variabilidad18	Date_capture	Position_capture	Time_capture	Persona (día 9)	Color1	Color2	W	Y	O	Weight at release	Moult	SVL	Ltot	Cut_Tail1	Cond_tail1	TailLength
345	RA_17_558	1234_234_23_4	M	AD	AD	C11	0	new	Comb4	1	M	12/06/2020	6,6	12:24	MU	YO	YO	0	1	1	3,731	N	57,000	127,000	78CC	71TF	70,000
346	RA_17_511	12345_12345_134_12345	M	AD	AD	C11	0	new	Comb4	1	M	17/06/2020	3,1	14:27	NL	WO	WO	1	0	1	4,579	N	59,000	126,000	74	RG	67,000
349	RA_17_161	135_1_15_245	M	AD	AD	C11	0	new	Comb4	1	M	09/06/2020	5,6	10:39	MU	WY	WO	1	0	1	3,752	M	60,000	129,000	,	E	69,000
350	JK_16_544	34_2345_3_134	M	AD	AD	C11	0	new	Comb4	1	M	12/06/2020	2,2	12:29	PF	WO	WO	1	0	1	4,701	N	60,000	150,000	,	E	90,000
351	RV_19_508	134_25_2_13	M	IM	AD	C11	0	new	Comb4	1	M	15/06/2020	2,2	12:06	PF	WO	WO	1	0	1	3,468	N	55,000	132,000	90	G	77,000
352	PF_18_006	14_1_2_1	M	IM	AD	C11	0	new	Comb4	1	M	17/06/2020	4,7	13:13	PF	OO	OO	0	0	2	4,159	EM	57,000	115,000	90	RG	58,000
356	RV_19_100	24_2_3_15	M	JUV	AD	C11	0	new	Comb4	1	M	09/06/2020	4,4	11:22	MU	YO	YO	0	1	1	1,834	N	47,000	103,000	,	E	56,000
359	RV_19_144	24_1_1_23	M	JUV	AD	C11	0	new	Comb4	1	M	09/06/2020	4,6	10:42	MU	YY	YY	0	2	0	3,457	EM	58,000	147,000	,	E	89,000
377	RA_17_523	12_1_25_4	M	AD	AD	C12	0	new	Comb7	4	L	09/06/2020	4,2	10:54	MU	WW	WW	2	0	0	4,294	N	61,000	108,000	71	RG	47,000
378	RA_17_516	123_1_4_2	M	AD	AD	C12	0	new	Comb7	4	L	12/06/2020	2,2	12:10	NL	WY	WY	1	1	0	3,684	M	59,000	122,000	71	RG	63,000
379	PF_18_547	125_345_1_4	M	AD	AD	C12	0	new	Comb7	4	L	09/06/2020	6,2	10:21	PF	WO	YO	0	1	1	4,054	M	57,000	143,000	,	E	86,000
381	RV_19_563	134_1_2_3	M	AD	AD	C12	0	new	Comb7	4	L	12/06/2020	4,6	12:15	NL	WW	WW	2	0	0	3,298	N	57,000	115,000	67	RG	58,000
383	RV_19_501	134_1_5_4	M	IM	AD	C12	0	new	Comb7	4	L	15/06/2020	6,2	12:15	PF	WO	WO	1	0	1	2,983	N	51,000	98,000	98	CC	47,000
384	PF_18_091	14_4_3_3	M	IM	AD	C12	0	new	Comb7	4	L	09/06/2020	2,4	10:25	PF	OO	OO	0	0	2	3,737	EM	58,000	132,000	74	RG	74,000
413	PF_18_525	125_4_4_15	M	AD	AD	C13	0	new	Comb6	2	M	09/06/2020	4,2	9:37	MU	WW	WW	2	0	0	4,237	N	60,000	115,000	,	E	55,000
414	RA_17_165	13_2_35_25	M	AD	AD	C13	0	new	Comb6	2	M	09/06/2020	4,3	10:30	PF	OO	OO	0	0	2	4,351	EM	58,000	157,000	,	E	99,000
415	RV_19_570	134_1345_3_45	M	AD	AD	C13	0	new	Comb6	2	M	09/06/2020	6,2	10:32	PF	WO	WO	1	0	1	3,537	EM	58,000	126,000	,	E	68,000
443	RA_17_592	12_4_14_3	M	AD	AD	C14	0	new	Comb1	1	D	09/06/2020	2,4	10:37	PF	WO	YO	0	1	1	4,865	EM	61,000	158,000	,	E	97,000
445	PF_18_524	125_4_132_235	M	AD	AD	C14	0	new	Comb1	1	D	09/06/2020	5,6	9:40	MU	WO	WO	1	0	1	3,682	N	55,000	133,000	87	RG	78,000
446	RV_19_564	134_1_2_2	M	AD	AD	C14	0	new	Comb1	1	D	12/06/2020	2,6	12:21	R	WO	WO	1	0	1	4,072	M	57,000	121,000	65	RG	64,000
448	JK_16_131	35_5_4_13	M	AD	AD	C14	0	new	Comb1	1	D	09/06/2020	6,2	11:16	MU	WY	WY	1	1	0	4,263	N	62,000	116,000	82	RG	54,000
478	RA_17_586	125_4_3_2	M	AD	AD	C15	0	new	Comb8	4	M	09/06/2020	5,2	10:58	PF	WO	WO	1	0	1	4,182	SM	58,000	150,000	,	E	92,000
509	RA_17_563	12_13_13_4	M	AD	AD	C16	0	new	Comb3	1	L	09/06/2020	3,5	9:34	PF	YO	YO	0	1	1	4,388	EM	58,000	124,000	107	RG	66,000
510	RA_17_590	12_4_14_1	M	AD	AD	C16	0	new	Comb3	1	L	09/06/2020	4,1	10:12	MU	WO	WO	1	0	1	5,058	M	65,000	132,000	78	RG	67,000
511	PF_18_546	125_5_1_3	M	AD	AD	C16	0	new	Comb3	1	L	09/06/2020	7,6	11:05	PF	OO	OO	0	0	2	5,066	M	61,000	156,000	154	G	95,000
